,name,team,apps,mins,goals,assists,xG,xA,xG90,xA90,Year,league
304,Phil Foden,Manchester City,1,9,0,0,0.00,0.00,0.0,0.0,2019,2
305,Isaac Hayden,Newcastle United,5,450,0,1,0.11,0.88,0.02,0.18,2019,2
306,Victor Lindelöf,Manchester United,5,450,0,0,0.00,0.28,0.0,0.06,2019,2
307,Gaëtan Bong,Brighton,1,1,0,0,0.00,0.00,0.0,0.0,2019,2
308,Davinson Sánchez,Tottenham,4,360,0,0,0.50,0.04,0.13,0.01,2019,2
309,Pedro Neto,Wolverhampton Wanderers,3,28,0,0,0.00,0.00,0.0,0.0,2019,2
310,Hamza Choudhury,Leicester,5,301,0,0,0.13,0.07,0.04,0.02,2019,2
311,Reiss Nelson,Arsenal,2,120,0,0,0.19,0.05,0.14,0.04,2019,2
312,Michael Obafemi,Southampton,1,21,0,0,0.00,0.00,0.0,0.0,2019,2
313,Yerry Mina,Everton,4,360,0,0,0.19,0.00,0.05,0.0,2019,2
314,Martin Dubravka,Newcastle United,5,450,0,0,0.00,0.00,0.0,0.0,2019,2
315,Jürgen Locadia,Brighton,2,84,0,0,0.40,0.00,0.43,0.0,2019,2
316,Joe Willock,Arsenal,3,239,0,0,0.08,0.16,0.03,0.06,2019,2
317,Dwight McNeil,Burnley,5,445,0,1,0.23,0.26,0.05,0.05,2019,2
318,Fred,Manchester United,1,21,0,0,0.00,0.00,0.0,0.0,2019,2
319,James Maddison,Leicester,5,449,0,2,1.51,0.80,0.3,0.16,2019,2
320,Rui Patrício,Wolverhampton Wanderers,5,450,0,0,0.00,0.00,0.0,0.0,2019,2
321,Willy Boly,Wolverhampton Wanderers,4,360,0,1,0.00,0.87,0.0,0.22,2019,2
322,Conor Coady,Wolverhampton Wanderers,5,450,0,0,0.00,0.03,0.0,0.01,2019,2
323,Matt Doherty,Wolverhampton Wanderers,4,247,0,0,0.05,0.00,0.02,0.0,2019,2
324,Diogo Jota,Wolverhampton Wanderers,5,364,0,0,0.66,0.18,0.16,0.05,2019,2
325,Rúben Vinagre,Wolverhampton Wanderers,1,90,0,0,0.00,0.00,0.0,0.0,2019,2
326,Morgan Gibbs-White,Wolverhampton Wanderers,2,87,0,0,0.05,0.07,0.05,0.07,2019,2
327,Ryan Fredericks,West Ham,4,360,0,0,0.00,0.08,0.0,0.02,2019,2
328,Fabián Balbuena,West Ham,1,90,0,0,0.00,0.00,0.0,0.0,2019,2
329,Stuart Armstrong,Southampton,4,44,0,0,0.31,0.00,0.63,0.0,2019,2
330,Sean Longstaff,Newcastle United,4,263,0,1,0.10,0.28,0.04,0.1,2019,2
331,Björn Engels,Aston Villa,4,360,0,0,0.07,0.00,0.02,0.0,2019,2
332,Oliver Skipp,Tottenham,2,2,0,0,0.00,0.00,0.0,0.0,2019,2
333,Leander Dendoncker,Wolverhampton Wanderers,5,347,0,0,0.27,0.11,0.07,0.03,2019,2
334,Yan Valery,Southampton,3,236,0,0,0.13,1.14,0.05,0.44,2019,2
335,Dan Burn,Brighton,5,450,0,0,0.42,0.57,0.08,0.11,2019,2
336,Miguel Almirón,Newcastle United,5,430,0,0,0.46,0.06,0.1,0.01,2019,2
337,Tahith Chong,Manchester United,1,18,0,0,0.00,0.00,0.0,0.0,2019,2
338,Mason Greenwood,Manchester United,4,38,0,0,0.14,0.00,0.33,0.0,2019,2
339,Max Aarons,Norwich,4,360,0,0,0.10,0.74,0.02,0.18,2019,2
340,Ben Godfrey,Norwich,5,450,0,0,0.07,0.00,0.01,0.0,2019,2
341,Grant Hanley,Norwich,3,270,0,0,0.13,0.00,0.04,0.0,2019,2
342,Jamal Lewis,Norwich,5,450,0,0,0.00,0.13,0.0,0.03,2019,2
343,Tom Trybull,Norwich,4,335,0,0,0.06,0.05,0.01,0.01,2019,2
344,Marco Stiepermann,Norwich,5,400,0,0,0.34,0.40,0.08,0.09,2019,2
345,Onel Hernández,Norwich,1,17,0,0,0.05,0.00,0.26,0.0,2019,2
346,Adam Webster,Brighton,2,180,0,0,0.00,0.00,0.0,0.0,2019,2
347,Che Adams,Southampton,5,383,0,0,2.46,0.77,0.58,0.18,2019,2
348,Dean Henderson,Sheffield United,5,450,0,0,0.03,0.00,0.01,0.0,2019,2
349,John Egan,Sheffield United,5,450,0,0,0.00,0.00,0.0,0.0,2019,2
350,Ben Godfrey,Norwich,5,450,0,0,0.07,0.00,0.01,0.0,2019,2
351,Grant Hanley,Norwich,3,270,0,0,0.13,0.00,0.04,0.0,2019,2
352,Jamal Lewis,Norwich,5,450,0,0,0.00,0.13,0.0,0.03,2019,2
353,Tom Trybull,Norwich,4,335,0,0,0.06,0.05,0.01,0.01,2019,2
354,Marco Stiepermann,Norwich,5,400,0,0,0.34,0.40,0.08,0.09,2019,2
355,Onel Hernández,Norwich,1,17,0,0,0.05,0.00,0.26,0.0,2019,2
356,Adam Webster,Brighton,2,180,0,0,0.00,0.00,0.0,0.0,2019,2
357,Che Adams,Southampton,5,383,0,0,2.46,0.77,0.58,0.18,2019,2
358,Dean Henderson,Sheffield United,5,450,0,0,0.03,0.00,0.01,0.0,2019,2
359,John Egan,Sheffield United,5,450,0,0,0.00,0.00,0.0,0.0,2019,2
